9905,3.75,0,2776,20250401-005001-005500.mp4,4/1/2025,0:52:19
9905,8.25,0,1500,20250401-005500-010001.mp4,4/1/2025,0:56:14
9908,3.25,0,3696,20250401-005500-010001.mp4,4/1/2025,0:58:04
9901,7.5,0,1792,20250401-010500-011001.mp4,4/1/2025,1:06:29
9911,13.25,0,5144,20250401-010500-011001.mp4,4/1/2025,1:09:17
9911,9.25,0,6016,20250401-010500-011001.mp4,4/1/2025,1:10:00
9911,106,0,2744,20250401-011001-011500.mp4,4/1/2025,1:12:18
9905,0.75,0,2980,20250401-011001-011500.mp4,4/1/2025,1:12:29
9911,77.75,0,5528,20250401-011001-011500.mp4,4/1/2025,1:14:37
9906,8.75,0,5984,20250401-011001-011500.mp4,4/1/2025,1:15:00
9906,80.5,0,1388,20250401-011500-012001.mp4,4/1/2025,1:16:09
9906,86,0,6016,20250401-011500-012001.mp4,4/1/2025,1:20:00
9895,10.75,0,4928,20250401-013001-013500.mp4,4/1/2025,1:34:07
9912,6,0,2696,20250401-014500-015001.mp4,4/1/2025,1:47:14
9914,40.25,0,5984,20250401-015001-015500.mp4,4/1/2025,1:55:00
9914,17.25,0,428,20250401-015500-020000.mp4,4/1/2025,1:55:21
9914,35,0,2456,20250401-015500-020000.mp4,4/1/2025,1:57:02
9909,59.75,0,4636,20250401-015500-020000.mp4,4/1/2025,1:58:51
9914,7.5,0,5176,20250401-015500-020000.mp4,4/1/2025,1:59:18
9909,40.75,0,5996,20250401-015500-020000.mp4,4/1/2025,1:59:59
9909,25.75,0,544,20250401-020001-020500.mp4,4/1/2025,2:00:28
9909,3.5,0,664,20250401-020001-020500.mp4,4/1/2025,2:00:34
9909,15.75,0,1680,20250401-020001-020500.mp4,4/1/2025,2:01:24
9900,2.5,0,3284,20250401-020001-020500.mp4,4/1/2025,2:02:45
9909,16,0,5984,20250401-020001-020500.mp4,4/1/2025,2:05:00
9909,5,0,156,20250401-020500-021000.mp4,4/1/2025,2:05:07
9909,18,0,1984,20250401-020500-021000.mp4,4/1/2025,2:06:39
9909,17.75,0,4704,20250401-020500-021000.mp4,4/1/2025,2:08:55
9911,2.5,0,5040,20250401-021000-021500.mp4,4/1/2025,2:14:11
9911,4.25,0,5272,20250401-021000-021500.mp4,4/1/2025,2:14:23
9914,4.75,0,2992,20250401-021500-022000.mp4,4/1/2025,2:17:29
9906,61.5,0,4712,20250401-021500-022000.mp4,4/1/2025,2:18:55
9911,11.5,0,5324,20250401-021500-022000.mp4,4/1/2025,2:19:26
9906,5.5,0,596,20250401-022000-022459.mp4,4/1/2025,2:20:29
9901,91.75,0,3164,20250401-022000-022459.mp4,4/1/2025,2:22:38
9901,4.5,0,3484,20250401-022000-022459.mp4,4/1/2025,2:22:54
9901,10,0,3952,20250401-022000-022459.mp4,4/1/2025,2:23:17
9905,16,0,4348,20250401-022000-022459.mp4,4/1/2025,2:23:37
9901,39.75,0,5268,20250401-022000-022459.mp4,4/1/2025,2:24:23
9901,24.25,0,5984,20250401-022000-022459.mp4,4/1/2025,2:24:59
9901,5.25,0,232,20250401-022500-023000.mp4,4/1/2025,2:25:11
9901,35.75,0,1164,20250401-022500-023000.mp4,4/1/2025,2:25:58
9908,17.5,0,1568,20250401-022500-023000.mp4,4/1/2025,2:26:18
9908,31.25,0,2192,20250401-022500-023000.mp4,4/1/2025,2:26:49
9901,11.25,0,2672,20250401-022500-023000.mp4,4/1/2025,2:27:13
9901,10.5,0,3048,20250401-022500-023000.mp4,4/1/2025,2:27:32
9901,3.5,0,3228,20250401-022500-023000.mp4,4/1/2025,2:27:41
9901,9,0,3516,20250401-022500-023000.mp4,4/1/2025,2:27:55
9908,54.5,0,4524,20250401-022500-023000.mp4,4/1/2025,2:28:46
9906,15.25,0,4960,20250401-022500-023000.mp4,4/1/2025,2:29:07
9906,37.5,0,6016,20250401-022500-023000.mp4,4/1/2025,2:30:00
9906,24.75,0,560,20250401-023000-023501.mp4,4/1/2025,2:30:27
9908,37.25,0,1520,20250401-023000-023501.mp4,4/1/2025,2:31:15
9908,146.25,0,4616,20250401-023000-023501.mp4,4/1/2025,2:33:50
9905,52.75,0,5720,20250401-023000-023501.mp4,4/1/2025,2:34:45
9906,9.25,0,6016,20250401-023000-023501.mp4,4/1/2025,2:35:00
9906,4.5,0,180,20250401-023501-024000.mp4,4/1/2025,2:35:09
9906,4.25,0,524,20250401-023501-024000.mp4,4/1/2025,2:35:27
9908,27,0,5984,20250401-023501-024000.mp4,4/1/2025,2:40:00
9908,32.25,0,588,20250401-024000-024501.mp4,4/1/2025,2:40:29
9905,5.25,0,1852,20250401-024000-024501.mp4,4/1/2025,2:41:32
9905,0.5,0,2380,20250401-024000-024501.mp4,4/1/2025,2:41:58
9905,7.75,0,3600,20250401-024000-024501.mp4,4/1/2025,2:42:59
9905,2.5,0,6016,20250401-024000-024501.mp4,4/1/2025,2:45:00
9895,67.25,0,2104,20250401-024501-025000.mp4,4/1/2025,2:46:46
9895,4.75,0,2264,20250401-024501-025000.mp4,4/1/2025,2:46:54
9905,0.5,0,2528,20250401-024501-025000.mp4,4/1/2025,2:47:07
9895,6.75,0,2852,20250401-024501-025000.mp4,4/1/2025,2:47:23
9895,27.5,0,4504,20250401-024501-025000.mp4,4/1/2025,2:48:46
9895,29.5,0,1456,20250401-025000-025501.mp4,4/1/2025,2:51:12
9895,157.5,0,3184,20250401-030000-030501.mp4,4/1/2025,3:02:39
9895,3.25,0,3944,20250401-030000-030501.mp4,4/1/2025,3:03:17
9911,72,0,3820,20250401-031501-032000.mp4,4/1/2025,3:18:11
9911,1,0,1776,20250401-032000-032501.mp4,4/1/2025,3:21:28
9911,61.25,0,3376,20250401-032000-032501.mp4,4/1/2025,3:22:48
9895,90,0,4552,20250401-032501-033000.mp4,4/1/2025,3:28:48
9911,33,0,5404,20250401-032501-033000.mp4,4/1/2025,3:29:31
9895,51.5,0,892,20250401-033000-033501.mp4,4/1/2025,3:30:44
9895,5,0,1072,20250401-033000-033501.mp4,4/1/2025,3:30:53
9911,35.5,0,1900,20250401-033000-033501.mp4,4/1/2025,3:31:34
9911,12,0,2332,20250401-033000-033501.mp4,4/1/2025,3:31:56
9895,21.5,0,2932,20250401-033000-033501.mp4,4/1/2025,3:32:26
9911,105.25,0,5024,20250401-033000-033501.mp4,4/1/2025,3:34:11
9895,16.75,0,6016,20250401-033000-033501.mp4,4/1/2025,3:35:00
9895,61.25,0,1460,20250401-033501-034000.mp4,4/1/2025,3:36:13
9903,136.25,0,4116,20250401-033501-034000.mp4,4/1/2025,3:38:26
9903,52.25,0,5368,20250401-033501-034000.mp4,4/1/2025,3:39:29
9903,17.25,0,744,20250401-034000-034501.mp4,4/1/2025,3:40:37
9895,36.75,0,6016,20250401-044000-044501.mp4,4/1/2025,4:45:00
9895,311.75,0,5084,20250401-044501-045000.mp4,4/1/2025,4:49:15
9894,283.25,0,6016,20250401-045000-045501.mp4,4/1/2025,4:55:00
9894,52.75,0,988,20250401-045501-050000.mp4,4/1/2025,4:55:50
9906,77.5,0,5984,20250401-050501-051000.mp4,4/1/2025,5:10:00
9906,238.25,0,3884,20250401-051000-051501.mp4,4/1/2025,5:13:14
9909,113.5,0,6016,20250401-052000-052501.mp4,4/1/2025,5:25:00
9909,371.75,0,5984,20250401-052501-053000.mp4,4/1/2025,5:30:00
9909,53.25,0,924,20250401-053000-053501.mp4,4/1/2025,5:30:46
9914,231.5,0,5176,20250401-053000-053501.mp4,4/1/2025,5:34:18
9911,46.5,0,6016,20250401-053000-053501.mp4,4/1/2025,5:35:00
9911,222.25,0,3624,20250401-053501-054000.mp4,4/1/2025,5:38:02
9901,143.25,0,5984,20250401-053501-054000.mp4,4/1/2025,5:40:00
9901,273,0,5028,20250401-054000-054500.mp4,4/1/2025,5:44:11
9903,51.75,0,6016,20250401-054000-054500.mp4,4/1/2025,5:45:00
9903,39.25,0,688,20250401-054501-055000.mp4,4/1/2025,5:45:35
9903,327,0,5984,20250401-054501-055000.mp4,4/1/2025,5:50:00
9903,176,0,2968,20250401-055000-055500.mp4,4/1/2025,5:52:28
9908,185,0,6016,20250401-055000-055500.mp4,4/1/2025,5:55:00
9908,265,0,4300,20250401-055500-060000.mp4,4/1/2025,5:58:34
9915,81.75,0,5982,20250401-055500-060000.mp4,4/1/2025,5:59:58
9915,373.75,0,6016,20250401-060000-060500.mp4,4/1/2025,6:05:00
9915,19.75,0,372,20250401-060500-060959.mp4,4/1/2025,6:05:18
9912,312,0,5632,20250401-060500-060959.mp4,4/1/2025,6:09:41
9900,320.75,0,5568,20250401-061000-061500.mp4,4/1/2025,6:14:38
9905,24,0,6016,20250401-061000-061500.mp4,4/1/2025,6:15:00
9905,360,0,6016,20250401-061500-062001.mp4,4/1/2025,6:20:00
9905,168.25,0,2856,20250401-062001-062500.mp4,4/1/2025,6:22:23
9913,191.5,0,5984,20250401-062001-062500.mp4,4/1/2025,6:25:00
9913,200,0,3276,20250401-062500-063001.mp4,4/1/2025,6:27:43
9916,163.75,0,6016,20250401-062500-063001.mp4,4/1/2025,6:30:00
9916,134,0,2232,20250401-063001-063500.mp4,4/1/2025,6:31:52
9899,15,0,2612,20250401-063001-063500.mp4,4/1/2025,6:32:11
9899,164.75,0,5984,20250401-063001-063500.mp4,4/1/2025,6:35:00
9899,224,0,3696,20250401-063500-064001.mp4,4/1/2025,6:38:04
9899,90.25,0,5572,20250401-063500-064001.mp4,4/1/2025,6:39:38
9913,13.25,0,5984,20250401-064001-064500.mp4,4/1/2025,6:45:00
9913,75.75,0,1628,20250401-064500-065001.mp4,4/1/2025,6:46:21
9917,242.25,0,5984,20250401-070001-070500.mp4,4/1/2025,7:05:00
9917,251.75,0,4204,20250401-070500-071001.mp4,4/1/2025,7:08:30
9906,66.5,0,5476,20250401-070500-071001.mp4,4/1/2025,7:09:33
9912,66,0,1448,20250401-072001-072500.mp4,4/1/2025,7:21:13
9894,31.25,0,2256,20250401-072001-072500.mp4,4/1/2025,7:21:53
9908,4.5,0,3124,20250401-072001-072500.mp4,4/1/2025,7:22:37
9909,45.25,0,1548,20250401-072500-073001.mp4,4/1/2025,7:26:17
9914,57,0,3568,20250401-072500-073001.mp4,4/1/2025,7:27:58
9909,29.25,0,4324,20250401-072500-073001.mp4,4/1/2025,7:28:36
9909,44.25,0,6012,20250401-072500-073001.mp4,4/1/2025,7:30:00
9909,25.5,0,1228,20250401-073001-073500.mp4,4/1/2025,7:31:02
9903,180.75,0,4392,20250401-073500-074000.mp4,4/1/2025,7:38:39
9908,71.5,0,5900,20250401-073500-074000.mp4,4/1/2025,7:39:54
9908,32.75,0,712,20250401-074001-074500.mp4,4/1/2025,7:40:36
9909,31.75,0,1984,20250401-074001-074500.mp4,4/1/2025,7:41:40
9909,8.5,0,2892,20250401-074001-074500.mp4,4/1/2025,7:42:25
9909,19.5,0,3528,20250401-074001-074500.mp4,4/1/2025,7:42:57
9909,48,0,4476,20250401-074001-074500.mp4,4/1/2025,7:43:44
9909,21,0,5984,20250401-074001-074500.mp4,4/1/2025,7:45:00
9909,40.75,0,724,20250401-074500-075000.mp4,4/1/2025,7:45:36
9895,27.5,0,1368,20250401-074500-075000.mp4,4/1/2025,7:46:08
9909,30.5,0,2196,20250401-074500-075000.mp4,4/1/2025,7:46:49
9901,7,0,2572,20250401-074500-075000.mp4,4/1/2025,7:47:08
9909,14.5,0,5820,20250401-074500-075000.mp4,4/1/2025,7:49:50
9909,36,0,2368,20250401-075000-075500.mp4,4/1/2025,7:51:58
9909,83.5,0,4892,20250401-075000-075500.mp4,4/1/2025,7:54:04
9895,58,0,5984,20250401-075000-075500.mp4,4/1/2025,7:54:59
9895,97.25,0,1764,20250401-075500-080000.mp4,4/1/2025,7:56:28
9895,3,0,2124,20250401-075500-080000.mp4,4/1/2025,7:56:46
9908,35.5,0,3264,20250401-075500-080000.mp4,4/1/2025,7:57:43
9908,42.75,0,4084,20250401-075500-080000.mp4,4/1/2025,7:58:24
9908,24.25,0,6000,20250401-075500-080000.mp4,4/1/2025,7:59:59
9908,18.25,0,364,20250401-080000-080459.mp4,4/1/2025,8:00:18
9894,2.75,0,1592,20250401-080000-080459.mp4,4/1/2025,8:01:19
9909,16.5,0,2224,20250401-080000-080459.mp4,4/1/2025,8:01:51
9909,20,0,5984,20250401-080000-080459.mp4,4/1/2025,8:04:59
9909,10.25,0,240,20250401-080500-081000.mp4,4/1/2025,8:05:11
9909,7.5,0,1532,20250401-080500-081000.mp4,4/1/2025,8:06:16
9911,16.25,0,2096,20250401-080500-081000.mp4,4/1/2025,8:06:44
9909,67,0,4528,20250401-080500-081000.mp4,4/1/2025,8:08:46
9901,17,0,6016,20250401-080500-081000.mp4,4/1/2025,8:10:00
9909,11.75,0,5320,20250401-081000-081501.mp4,4/1/2025,8:14:25
9895,44.5,0,1136,20250401-081501-082000.mp4,4/1/2025,8:15:57
9909,27.25,0,2220,20250401-081501-082000.mp4,4/1/2025,8:16:51
9895,156.75,0,5272,20250401-081501-082000.mp4,4/1/2025,8:19:24
9912,33,0,5984,20250401-081501-082000.mp4,4/1/2025,8:20:00
9912,48.5,0,1072,20250401-082000-082501.mp4,4/1/2025,8:20:53
9906,56.25,0,2196,20250401-082000-082501.mp4,4/1/2025,8:21:49
9895,1,0,6016,20250401-082000-082501.mp4,4/1/2025,8:25:00
9895,96.5,0,1976,20250401-082501-083000.mp4,4/1/2025,8:26:39
9895,112.5,0,5108,20250401-082501-083000.mp4,4/1/2025,8:29:16
9912,42,0,5984,20250401-082501-083000.mp4,4/1/2025,8:30:00
9912,18.25,0,420,20250401-083000-083501.mp4,4/1/2025,8:30:20
9895,57,0,1744,20250401-083000-083501.mp4,4/1/2025,8:31:27
9906,147.75,0,5584,20250401-083000-083501.mp4,4/1/2025,8:34:39
9895,3.5,0,6016,20250401-083000-083501.mp4,4/1/2025,8:35:00
9895,40.75,0,1068,20250401-083501-084000.mp4,4/1/2025,8:35:54
9903,24,0,4064,20250401-083501-084000.mp4,4/1/2025,8:38:24
9911,21.25,0,4720,20250401-083501-084000.mp4,4/1/2025,8:38:56
9895,24.75,0,5984,20250401-083501-084000.mp4,4/1/2025,8:40:00
9895,24,0,492,20250401-084000-084501.mp4,4/1/2025,8:40:24
9895,5.75,0,1144,20250401-084000-084501.mp4,4/1/2025,8:40:57
9895,23.75,0,2072,20250401-084000-084501.mp4,4/1/2025,8:41:43
9895,36,0,4060,20250401-084000-084501.mp4,4/1/2025,8:43:22
9903,29.75,0,6016,20250401-084000-084501.mp4,4/1/2025,8:45:00
9903,2,0,116,20250401-084501-085000.mp4,4/1/2025,8:45:06
9912,68.75,0,1740,20250401-084501-085000.mp4,4/1/2025,8:46:27
9895,71.75,0,3448,20250401-085000-085501.mp4,4/1/2025,8:52:52
9895,19.75,0,4564,20250401-085000-085501.mp4,4/1/2025,8:53:48
9916,44.75,0,6016,20250401-085000-085501.mp4,4/1/2025,8:55:00
9916,85.25,0,1660,20250401-085501-090000.mp4,4/1/2025,8:56:23
9895,205.25,0,5516,20250401-085501-090000.mp4,4/1/2025,8:59:36
9895,51.75,0,1696,20250401-090000-090501.mp4,4/1/2025,9:01:24
9916,47,0,4184,20250401-090000-090501.mp4,4/1/2025,9:03:29
9901,27.5,0,4768,20250401-090000-090501.mp4,4/1/2025,9:03:58
9901,230.75,0,5984,20250401-090501-091000.mp4,4/1/2025,9:10:00
9901,66.25,0,1160,20250401-091000-091501.mp4,4/1/2025,9:10:57
9909,40.5,0,2028,20250401-091000-091501.mp4,4/1/2025,9:11:41
9909,17.75,0,2988,20250401-091000-091501.mp4,4/1/2025,9:12:29
9909,11.75,0,3552,20250401-091000-091501.mp4,4/1/2025,9:12:57
9911,143.75,0,6016,20250401-091000-091501.mp4,4/1/2025,9:15:00
9911,117,0,1944,20250401-091501-092000.mp4,4/1/2025,9:16:38
9912,65.25,0,3180,20250401-091501-092000.mp4,4/1/2025,9:17:39
9909,88.75,0,5072,20250401-091501-092000.mp4,4/1/2025,9:19:14
9894,23.75,0,5984,20250401-091501-092000.mp4,4/1/2025,9:20:00
9894,1.25,0,384,20250401-092000-092501.mp4,4/1/2025,9:20:19
9909,12.75,0,1220,20250401-092000-092501.mp4,4/1/2025,9:21:00
9909,12.25,0,1808,20250401-092000-092501.mp4,4/1/2025,9:21:30
9909,6.25,0,3108,20250401-092000-092501.mp4,4/1/2025,9:22:35
9914,4,0,3384,20250401-092000-092501.mp4,4/1/2025,9:22:49
9914,0.5,0,5772,20250401-092000-092501.mp4,4/1/2025,9:24:48
9912,5.25,0,2152,20250401-093000-093500.mp4,4/1/2025,9:31:47
9914,17.5,0,5876,20250401-093000-093500.mp4,4/1/2025,9:34:53
9894,15,0,2264,20250401-093500-094000.mp4,4/1/2025,9:36:53
9906,3.25,0,172,20250401-094000-094500.mp4,4/1/2025,9:40:08
9909,1.5,0,4236,20250401-094000-094500.mp4,4/1/2025,9:43:31
9903,83.5,0,6016,20250401-094000-094500.mp4,4/1/2025,9:45:00
9906,128,0,5984,20250401-094500-095000.mp4,4/1/2025,9:49:59
9906,15.25,0,312,20250401-095000-095500.mp4,4/1/2025,9:50:15
9909,0.75,0,512,20250401-095000-095500.mp4,4/1/2025,9:50:25
9903,57.25,0,5752,20250401-095000-095500.mp4,4/1/2025,9:54:47
9903,12.75,0,684,20250401-095500-095959.mp4,4/1/2025,9:55:34
9895,13.5,0,1056,20250401-095500-095959.mp4,4/1/2025,9:55:52
9895,3,0,1300,20250401-095500-095959.mp4,4/1/2025,9:56:04
