9911,18.75,0,5812,20250403-000000-000500.mp4
9908,0.5,0,1380,20250403-000500-001000.mp4
9917,26.5,0,6016,20250403-000500-001000.mp4
9917,76.75,0,3192,20250403-001000-001459.mp4
9911,26.25,0,4036,20250403-001000-001459.mp4
9917,105.75,0,5984,20250403-001000-001459.mp4
9917,349.75,0,6016,20250403-001500-002000.mp4
9894,304.25,0,5516,20250403-002000-002501.mp4
9915,22,0,6016,20250403-002000-002501.mp4
9911,205.25,0,5984,20250403-002501-003000.mp4
9894,59,0,5984,20250403-002501-003000.mp4
9894,113.25,0,2248,20250403-003000-003501.mp4
9900,143.25,0,6016,20250403-003000-003501.mp4
9900,124.5,0,4408,20250403-003501-004000.mp4
9911,32,0,3144,20250403-004501-005000.mp4
9908,12.75,0,5984,20250403-004501-005000.mp4
9914,60.5,0,5984,20250403-004501-005000.mp4
9914,23.75,0,576,20250403-005000-005501.mp4
9908,83.25,0,2508,20250403-005000-005501.mp4
9899,143.25,0,5032,20250403-005000-005501.mp4
9908,24.75,0,6016,20250403-005000-005501.mp4
9908,94.75,0,1928,20250403-005501-010000.mp4
9899,15.25,0,2356,20250403-005501-010000.mp4
9899,67.5,0,4408,20250403-010000-010501.mp4
9908,3.25,0,5460,20250403-010000-010501.mp4
9895,106.75,0,3844,20250403-011000-011501.mp4
9906,86.25,0,6016,20250403-011000-011501.mp4
9895,1.25,0,1612,20250403-011501-012000.mp4
9908,7.5,0,5636,20250403-011501-012000.mp4
9895,18.25,0,3436,20250403-012000-012501.mp4
9906,4.5,0,4416,20250403-012000-012501.mp4
9916,209.25,0,4900,20250403-012501-013000.mp4
9906,14,0,5108,20250403-012501-013000.mp4
9917,27.75,0,5984,20250403-012501-013000.mp4
9917,166.25,0,3124,20250403-013000-013500.mp4
9916,41.25,0,3988,20250403-013000-013500.mp4
9916,109.75,0,6016,20250403-013000-013500.mp4
9916,73.25,0,1792,20250403-013501-014000.mp4
9917,33,0,3556,20250403-013501-014000.mp4
9916,171.5,0,6016,20250403-014000-014500.mp4
9916,6.75,0,504,20250403-014500-015000.mp4
9915,60,0,5140,20250403-015500-020000.mp4
9905,9,0,856,20250403-020000-020500.mp4
9901,64,0,5980,20250403-020000-020500.mp4
9912,98.75,0,6016,20250403-020000-020500.mp4
9911,109.75,0,5984,20250403-020500-020959.mp4
9911,39.75,0,5144,20250403-021000-021500.mp4
9917,204.25,0,6016,20250403-021000-021500.mp4
9917,10,0,1388,20250403-021500-022001.mp4
9908,114,0,3088,20250403-021500-022001.mp4
9911,9.75,0,5636,20250403-021500-022001.mp4
9908,165.5,0,6016,20250403-021500-022001.mp4
9908,55.25,0,1092,20250403-022001-022500.mp4
9911,57.25,0,2504,20250403-022001-022500.mp4
9899,33.25,0,3080,20250403-022001-022500.mp4
9899,71.25,0,4764,20250403-022001-022500.mp4
9911,41.25,0,5984,20250403-022001-022500.mp4
9911,5.5,0,528,20250403-022500-023001.mp4
9895,27,0,1032,20250403-022500-023001.mp4
9906,8.25,0,1096,20250403-022500-023001.mp4
9895,30,0,3216,20250403-022500-023001.mp4
9917,64.25,0,6016,20250403-022500-023001.mp4
9908,36.5,0,6016,20250403-022500-023001.mp4
9908,123.75,0,3628,20250403-023001-023500.mp4
9908,12.75,0,2176,20250403-023500-024001.mp4
9911,41.75,0,4652,20250403-023500-024001.mp4
9899,94.75,0,5328,20250403-023500-024001.mp4
9908,20.25,0,6016,20250403-023500-024001.mp4
9908,17,0,812,20250403-024001-024500.mp4
9916,107.75,0,2728,20250403-024001-024500.mp4
9906,73.25,0,5984,20250403-024001-024500.mp4
9916,100,0,5984,20250403-024001-024500.mp4
9909,9.5,0,400,20250403-024500-025001.mp4
9899,29.25,0,1464,20250403-024500-025001.mp4
9916,70.75,0,4396,20250403-024500-025001.mp4
9908,81,0,5808,20250403-024500-025001.mp4
9909,10.5,0,6016,20250403-024500-025001.mp4
9914,31.5,0,5264,20250403-025001-025500.mp4
9914,1.25,0,5984,20250403-025001-025500.mp4
9914,19.75,0,484,20250403-025500-030001.mp4
9914,24.25,0,5524,20250403-025500-030001.mp4
9895,204,0,5984,20250403-030001-030500.mp4
9894,3.75,0,5984,20250403-030001-030500.mp4
